"tag","cluster"
c#,c#
excel,c#
git,git
go,go
iis,c#
monaca,monaca
oauth,monaca
onsen-ui,onsen-ui
powershell,c#
push-notification,monaca
python,python
python3,python
r,python
raspberry-pi,raspberry-pi
scala,python
scikit-learn,python
sql-server,c#
sqlite,sqlite
tensorflow,python
twitter,twitter
virtualbox,virtualbox
visual-studio,visual-studio
vue.js,python
windows,windows
wordpress,wordpress
xml,xml
windows-10,windows
ajax,javascript
android-fragments,android
apache,php
aws,mysql
c++11,c++
cakephp,php
gcc,c
google-maps,android
ios8,ios
java-ee,java
java8,java
kotlin,java
maven,java
pdf,javascript
perl,javascript
postfix,php
realm,ios
redmine,php
rubygems,ruby-on-rails
rubymine,ruby-on-rails
selenium-webdriver,ruby-on-rails
sendmail,ruby-on-rails
spring-boot,java
spritekit,ios
storyboard,ios
symfony2,php
tomcat,java
win32api,php
xaml,swift
xampp,php
xcode8,swift
youtube-data-api,swift
github,git
linq,.net
winforms,.net
wpf,.net
os-x,os-x
.net,.net
android,android
android-layout,android
android-studio,android
angularjs,javascript
bash,linux
c,c
c++,c++
centos,linux
cordova,javascript
css,css
eclipse,java
google-chrome,html
gradle,java
html,html
html5,html
internet-explorer,html
ios,ios
iphone,ios
java,java
javascript,javascript
jquery,javascript
jquery-ui,javascript
jsp,java
linux,linux
mysql,mysql
npm,nodejs
objective-c,ios
php,php
phpmyadmin,php
postgresql,postgresql
rails-activerecord,ruby-on-rails
ruby,ruby-on-rails
ruby-on-rails,ruby-on-rails
selenium,javascript
spring,java
swift,swift
swift2,swift
swift3,swift
ubuntu,linux
uicollectionview,swift
uiimage,swift
uikit,swift
uilabel,swift
uiscrollview,swift
unity3d,unity3d
unix,linux
vb.net,vb
vba,vb
vim,linux
xcode,xcode
xcode6,xcode
xcode7,xcode
xpath,xml
zsh,linux
nodejs,nodejs
